by doing so	тем самым
to get out of the slump 	выходит из подавленного состояния
staple of	основной элемент
call it off	отменить
speaking about	говоря об
in the long run	в долгосрочной перспективе
thanks to it	благодаря этому
rate of	уровень, показатель
to start with	Начну с
completion rate of	проце
leave on good terms	уходить на хороших условиях
In the beginning	в начале
first of all	прежде всего
check out	проверить, проверять
dive into	погружаться
take advantage of something	извлекать выгоду
I am up for it	я готов к этому
sort of	вроде
assumes that	предполагается что
It depends on	в зависимости от
To save from	обезопасить
it is obligatory to do smth	обязательно делать что-либо
ask for advice from someone	попросить совета у кого-то
follow a routine	придерживаться рутины, распорядка дня
to stick to a routine	придерживаться рутины, распорядка дня
it's not my cup of tea	это не мое, это не для меня
I can be wrong but	я могу ошибаться, но
I tend to think	я склонен думать
I feel doubtful but 	я сомневаюсь, но
As far as I know	на сколько я знаю
I'm quite sure	я совершенно уверен
I'm certain	я уверен
I cant stand	я терпеть не могу
I am not in the mood of doing it	мне не нравится делать это
I don’t mind doing it	мне всё равно
I am bot against	я не против делать что-то
I quite like	мне  нравится  (немного)
can be defined	можно определить
be aware of each other 	знать друг о друге
figure out	выяснять
to quite on me	покинул (сломался, бросил)
crunch a vast amount data	обрабатывать огромное количество данных
headed off	отправился, направился
apart from this	помимо
in addition to	в дополнение к
in short	вкратце
in summary	в целом
in a nutshell	в двух словах
in conclusion	в заключении
due to	в связи с
owning to	благодаря
as a result	в результате
